Claim_Number,date_of_loss,Notifier,Loss_code,Loss_description,Notification_period,Inception_to_loss,Location_of_incident,Weather_conditions,Vehicle_mobile,Time_hour,Main_driver,PH_considered_TP_at_fault, Vechile_registration_present , Incident_details_present , Injury_details_present , TP_type_insd_pass_back , TP_type_insd_pass_front , TP_type_driver , TP_type_pass_back , TP_type_pass_front , TP_type_bike , TP_type_cyclist , TP_type_pass_multi , TP_type_pedestrian , TP_type_other , TP_type_nk , TP_injury_whiplash , TP_injury_traumatic , TP_injury_fatality , TP_injury_unclear , TP_injury_nk , TP_region_eastang , TP_region_eastmid , TP_region_london , TP_region_north , TP_region_northw , TP_region_outerldn , TP_region_scotland , TP_region_southe , TP_region_southw , TP_region_wales , TP_region_westmid , TP_region_yorkshire ,Incurred,Capped_Incurred
11,2003-07-30,Other,LD003,Head on collision,0,109,Minor Road,WET,Y,7,Other,n/k, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,27063.60,27063.60
12,2003-08-12,Other,LD003,Head on collision,1,22,Main Road,NORMAL,N,23,Other,n/k, 1 , 1 , 1 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,206.04,206.04
13,2003-08-13,Other,LD003,Head on collision,0,46,Main Road,NORMAL,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,3522.30,3522.30
14,2003-08-19,CNF,LD003,Head on collision,2,7,Other,NORMAL,Y,16,Y,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4721.87,4721.87
15,2003-08-27,PH,LD003,Head on collision,0,57,Minor Road,NORMAL,N,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6573.72,6573.72
16,2003-08-28,Other,LD003,Head on collision,6,104,Minor Road,WET,Y,10,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1133.36,1133.36
17,2003-08-29,TP,LD003,Head on collision,61,55,Not Applicable,N/A,n/k,0,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,424.19,424.19
18,2003-08-30,PH,LD003,Head on collision,2,27,Main Road,NORMAL,N,13,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,880.07,880.07
19,2003-09-08,PH,LD003,Head on collision,0,128,Minor Road,WET,N,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,12351.86,12351.86
20,2003-09-10,CNF,LD003,Head on collision,0,18,Other,NORMAL,N,11,Y,n/k, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,23093.45,23093.45
21,2003-09-10,Other,LD003,Head on collision,0,75,Minor Road,WET,N,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,5996.71,5996.71
22,2003-09-12,PH,LD003,Head on collision,6,4,Main Road,NORMAL,N,19,Other,n/k, 1 , 1 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,43404.86,43404.86
23,2003-09-12,PH,LD003,Head on collision,20,11,Minor Road,WET,Y,12,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
24,2003-09-14,CNF,LD003,Head on collision,3,79,Minor Road,N/K,Y,11,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,992.50,992.50
25,2003-09-15,Other,LD003,Head on collision,0,167,Minor Road,NORMAL,Y,17,Other,n/k, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,829.23,829.23
26,2003-09-17,Other,LD003,Head on collision,0,37,Main Road,NORMAL,N,7,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,191.55,191.55
27,2003-09-22,Other,LD003,Head on collision,10,21,Main Road,WET,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2249.52,2249.52
28,2003-10-02,Other,LD003,Head on collision,48,55,Minor Road,NORMAL,Y,13,Other,n/k, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,38825.70,38825.70
29,2003-10-03,CNF,LD003,Head on collision,5,120,Minor Road,WET,N,15,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4774.32,4774.32
30,2003-10-05,CNF,LD003,Head on collision,1,96,Minor Road,WET,N,18,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,2275.99,2275.99
31,2003-10-11,PH,LD003,Head on collision,0,58,Main Road,NORMAL,Y,13,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
32,2003-10-15,Other,LD003,Head on collision,145,33,Main Road,N/K,Y,0,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,876.08,876.08
33,2003-10-15,Other,LD003,Head on collision,1,5,Minor Road,NORMAL,N,18,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,109.48,109.48
34,2003-10-18,CNF,LD003,Head on collision,3,78,Main Road,NORMAL,N,12,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,96.87,96.87
35,2003-10-21,PH,LD003,Head on collision,3,46,Minor Road,NORMAL,N,23,Other,n/k, 1 , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   ,23288.70,23288.70
36,2003-10-21,CNF,LD003,Head on collision,1,41,Minor Road,WET,N,17,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,184.96,184.96
37,2003-10-21,PH,LD003,Head on collision,0,103,Main Road,NORMAL,Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,1976.67,1976.67
38,2003-10-22,Other,LD003,Head on collision,0,33,Minor Road,WET,Y,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,0.00,0.00
39,2003-10-25,Other,LD003,Head on collision,4,107,Minor Road,NORMAL,Y,12,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,920.53,920.53
40,2003-10-26,PH,LD003,Head on collision,8,102,Minor Road,NORMAL,Y,9,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
41,2003-10-29,Other,LD003,Head on collision,1,89,Not Applicable,N/K,n/k,0,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,0.00,0.00
42,2003-10-30,PH,LD003,Head on collision,0,63,Minor Road,NORMAL,Y,12,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4261.00,4261.00
43,2003-11-01,Other,LD003,Head on collision,0,100,Minor Road,WET,N,10,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2172.55,2172.55
44,2003-11-03,CNF,LD003,Head on collision,8,141,Minor Road,N/K,Y,10,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,993.62,993.62
45,2003-11-04,Other,LD003,Head on collision,1,64,Main Road,WET,N,17,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,7685.21,7685.21
46,2003-11-06,Other,LD003,Head on collision,0,142,Minor Road,NORMAL,N,10,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,4597.27,4597.27
47,2003-11-08,PH,LD003,Head on collision,0,212,Minor Road,NORMAL,N,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80.58,80.58
48,2003-11-08,Other,LD003,Head on collision,2,20,Minor Road,NORMAL,N,11,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80.58,80.58
49,2003-11-12,CNF,LD003,Head on collision,1,152,Main Road,N/K,N,7,Other,n/k, 1 , 1 , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 2 ,20228.64,20228.64
50,2003-11-13,Other,LD003,Head on collision,0,140,Main Road,NORMAL,N,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5143.78,5143.78
51,2003-11-14,Other,LD003,Head on collision,1,90,Minor Road,WET,N,17,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,494.84,494.84
52,2003-11-15,Other,LD003,Head on collision,2,45,Minor Road,WET,Y,23,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
53,2003-11-18,CNF,LD003,Head on collision,0,195,Main Road,WET,N,7,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,171.25,171.25
54,2003-11-20,PH,LD003,Head on collision,0,165,Minor Road,WET,Y,18,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
55,2003-11-21,Other,LD003,Head on collision,0,54,Minor Road,WET,N,16,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,6230.83,6230.83
56,2003-11-21,Other,LD003,Head on collision,8,66,Minor Road,WET,Y,18,Other,n/k, 1 , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,532.62,532.62
57,2003-11-22,Other,LD003,Head on collision,39,102,Minor Road,NORMAL,Y,14,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,685.56,685.56
58,2003-11-24,Other,LD003,Head on collision,7,208,Main Road,N/K,Y,0,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,133.96,133.96
59,2003-11-26,CNF,LD003,Head on collision,2,175,Minor Road,WET,N,18,Other,n/k, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,70586.42,50000.00
60,2003-11-26,PH,LD003,Head on collision,1,88,Main Road,NORMAL,Y,11,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,80.58,80.58
61,2003-11-27,Other,LD003,Head on collision,0,84,Main Road,"SNOW,ICE,FOG",Y,8,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,85.62,85.62
62,2003-11-27,Other,LD003,Head on collision,4,59,Minor Road,NORMAL,Y,8,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,0.00,0.00
63,2003-11-28,Other,LD003,Head on collision,0,34,Main Road,NORMAL,N,11,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,5152.33,5152.33
64,2003-11-29,Other,LD003,Head on collision,4,104,Main Road,NORMAL,Y,19,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,109.99,109.99
65,2003-11-30,CNF,LD003,Head on collision,1,221,Minor Road,NORMAL,N,15,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,7315.67,7315.67
66,2003-12-02,PH,LD003,Head on collision,0,236,Minor Road,N/K,Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80.23,80.23
67,2003-12-02,PH,LD003,Head on collision,0,65,Main Road,NORMAL,Y,0,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
68,2003-12-03,Other,LD003,Head on collision,1,96,Minor Road,WET,N,9,Other,n/k, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,9279.44,9279.44
69,2003-12-03,Other,LD003,Head on collision,0,103,Main Road,WET,Y,15,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,2281.00,2281.00
70,2003-12-05,PH,LD003,Head on collision,1,126,Main Road,NORMAL,N,20,Other,n/k, 1 , 1 , 1 , -   , -   , 2 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 1 , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,33938.86,33938.86
71,2003-12-07,PH,LD003,Head on collision,1,247,Minor Road,NORMAL,N,18,Other,n/k, 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,3088.87,3088.87
72,2003-12-07,Other,LD003,Head on collision,1,172,Minor Road,NORMAL,Y,15,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,103.80,103.80
73,2003-12-07,Other,LD003,Head on collision,2,117,Main Road,NORMAL,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,428.19,428.19
74,2003-12-08,PH,LD003,Head on collision,0,185,Minor Road,NORMAL,Y,11,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,0.00,0.00
75,2003-12-09,Other,LD003,Head on collision,0,191,Minor Road,NORMAL,N,8,Other,n/k, 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,722.07,722.07
76,2003-12-10,Other,LD003,Head on collision,0,71,Minor Road,"SNOW,ICE,FOG",Y,9,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,0.00,0.00
77,2003-12-10,Other,LD003,Head on collision,0,187,Main Road,"SNOW,ICE,FOG",N,16,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1670.34,1670.34
78,2003-12-12,Other,LD003,Head on collision,0,249,Minor Road,WET,N,13,Other,n/k, 1 , 1 , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   ,16133.92,16133.92
79,2003-12-12,Other,LD003,Head on collision,0,11,Minor Road,NORMAL,N,8,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   ,10137.91,10137.91
80,2003-12-16,Other,LD003,Head on collision,0,168,Minor Road,NORMAL,N,6,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,110.31,110.31
81,2003-12-16,Other,LD003,Head on collision,0,173,Minor Road,NORMAL,Y,15,Other,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,0.00,0.00
82,2003-12-17,Other,LD003,Head on collision,14,214,Main Road,N/K,N,8,Y,n/k, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,471.35,471.35
83,2003-12-17,Other,LD003,Head on collision,23,200,Minor Road,NORMAL,N,17,Other,n/k, 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11591.13,11591.13
84,2003-12-17,PH,LD003,Head on collision,0,105,Main Road,NORMAL,Y,12,Other,n/k, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,2018.91,2018.91
